id_skakalnice,kraj,velikost,drzava,tip_skakalnice
1,Beijing,106,CHN,srednja
2,PyeongChang,109,KOR,srednja
3,Sochi,106,RUS,srednja
4,Oberstdorf,137,GER,velika
5,Oberstdorf,106,GER,srednja
6,Seefeld,109,AUT,srednja
7,Lahti,100,FIN,srednja
8,Falun,100,SWE,srednja
9,Predazzo,106,ITA,srednja
10,Oslo,106,NOR,srednja
11,Liberec,100,CZE,srednja
12,Hinzenbach,94,AUT,srednja
13,Hinterzarten,108,GER,srednja
14,Lillehammer,100,NOR,srednja
15,Oslo,134,NOR,velika
16,Trondheim,105,NOR,srednja
17,Sapporo,100,JPN,srednja
18,Schonach,106,GER,srednja
19,Ramsau,98,AUT,srednja
20,Planica,139,SLO,velika
21,Planica,95,SLO,srednja
22,Almaty,106,KAZ,srednja
23,Rasnov,97,ROU,srednja
24,Ljubno,94,SLO,srednja
25,Zao,102,JPN,srednja
26,Lillehammer,140,NOR,velika
27,Chaikovsky,140,RUS,velika
28,Chaikovsky,102,RUS,srednja
29,Nizhny Tagil,97,RUS,srednja
30,Trondheim,138,NOR,velika
31,Sapporo,137,JPN,velika
32,Premanon,90,FRA,srednja
33,Klingenthal,140,GER,velika
34,Titisee-Neustadt,142,GER,velika
35,Oberhof,100,GER,srednja
36,Willingen,147,GER,velika
